Source_File,Text_ID,Content_Type,Author,Date,Text,Engagement,Thread_ID,clean_text
全运会2.txt,Comment_01_007,Comment,寄姆菇,2025-10-20广东,同一个区，我在12排,,全运会2_Thread_01,同一个区，我在12排
全运会2.txt,Post_02,Post,8,10/17/2025,,,全运会2_Thread_02,
全运会2.txt,Comment_02_001,Comment,o_O见过周深版,2025-10-18广东,冠军赛10区12排9号 手机拍的,,全运会2_Thread_02,冠军赛10区12排9号 手机拍的
全运会2.txt,Comment_02_004,Comment,,2025-10-18湖南,真有点远了hhh,,全运会2_Thread_02,真有点远了hhh
全运会2.txt,Reply_02_006,Reply,o_O见过周深版,2025-10-18广东, 想一直休息  肉眼看其实挺近的，想看表情的话得带长焦,,全运会2_Thread_02, 想一直休息 肉眼看其实挺近的，想看表情的话得带长焦
全运会2.txt,Comment_02_008,Comment,,2025-10-19江苏, 想一直休息  场馆不大，都能看清楚,,全运会2_Thread_02, 想一直休息 场馆不大，都能看清楚
全运会2.txt,Comment_02_010,Comment,木熹 美物集,2025-11-12广东,请问12排前面有玻璃遮挡吗,,全运会2_Thread_02,请问12排前面有玻璃遮挡吗
全运会2.txt,Comment_02_012,Comment,星游团_俊哥,2025-10-17广东,关我，我出视角图,,全运会2_Thread_02,关我，我出视角图
全运会2.txt,Comment_02_015,Comment,,2025-10-17湖南,已关，求分享,,全运会2_Thread_02,已关，求分享
全运会2.txt,Comment_02_018,Comment,,2025-10-17广东,这个是冠军赛03区13排的400镜头 可以参考一下,,全运会2_Thread_02,这个是冠军赛03区13排的400镜头 可以参考一下
全运会2.txt,Comment_02_020,Comment,西瓜,2025-10-17湖南,400都这么小嘛我以为300够了呢,,全运会2_Thread_02,400都这么小嘛我以为300够了呢
全运会2.txt,Comment_02_022,Comment,momo,2025-10-17广东,看不清表情,,全运会2_Thread_02,看不清表情
全运会2.txt,Comment_02_026,Comment,yoyo非鱼,2025-10-17日本,10排以上肉眼可以看到人，但拍照得配长焦，上次用200焦段拍的都是小小人,,全运会2_Thread_02,10排以上肉眼可以看到人，但拍照得配长焦，上次用200焦段拍的都是小小人
全运会2.txt,Comment_02_030,Comment,野人艺术家,2025-10-17广东,其实挺近的但是还是看不清脸，要带长焦的,,全运会2_Thread_02,其实挺近的但是还是看不清脸，要带长焦的
全运会2.txt,Comment_02_035,Comment,利好大王,2025-10-17湖南,我不知道,,全运会2_Thread_02,我不知道
全运会2.txt,Comment_02_041,Comment,小兔会汪汪叫吗,2025-10-22辽宁,离颁奖挺近的，但是离出发比较远不太能看清人,,全运会2_Thread_02,离颁奖挺近的，但是离出发比较远不太能看清人
全运会2.txt,Comment_02_043,Comment,EE11,2025-10-17内蒙古,看不清,,全运会2_Thread_02,看不清
全运会2.txt,Comment_02_045,Comment,,2025-10-17广东,带个500吧至少,,全运会2_Thread_02,带个500吧至少
